Ethnicity	EducationLevel	GeoRegion	IncomeGroup	source_cooking_fuel_post_eq	Freq
Brahman	Illiterate	Hilly	0-10000	Electricity	0
Brahman	Illiterate	Hilly	0-10000	Gobar Gas	159
Brahman	Illiterate	Hilly	0-10000	Kerosene	5
Brahman	Illiterate	Hilly	0-10000	LP Gas	375
Brahman	Illiterate	Hilly	0-10000	Others	3
Brahman	Illiterate	Hilly	0-10000	Wood	7932
Brahman	Illiterate	Hilly	10000-20000	Electricity	0
Brahman	Illiterate	Hilly	10000-20000	Gobar Gas	213
Brahman	Illiterate	Hilly	10000-20000	Kerosene	1
Brahman	Illiterate	Hilly	10000-20000	LP Gas	666
Brahman	Illiterate	Hilly	10000-20000	Others	1
Brahman	Illiterate	Hilly	10000-20000	Wood	3245
Brahman	Illiterate	Hilly	20000-30000	Electricity	1
Brahman	Illiterate	Hilly	20000-30000	Gobar Gas	95
Brahman	Illiterate	Hilly	20000-30000	Kerosene	0
Brahman	Illiterate	Hilly	20000-30000	LP Gas	336
Brahman	Illiterate	Hilly	20000-30000	Others	0
Brahman	Illiterate	Hilly	20000-30000	Wood	1038
Brahman	Illiterate	Hilly	30000-50000	Electricity	0
Brahman	Illiterate	Hilly	30000-50000	Gobar Gas	27
Brahman	Illiterate	Hilly	30000-50000	Kerosene	0
Brahman	Illiterate	Hilly	30000-50000	LP Gas	109
Brahman	Illiterate	Hilly	30000-50000	Others	0
Brahman	Illiterate	Hilly	30000-50000	Wood	355
Brahman	Illiterate	Hilly	50000-ABOVE	Electricity	0
Brahman	Illiterate	Hilly	50000-ABOVE	Gobar Gas	9
Brahman	Illiterate	Hilly	50000-ABOVE	Kerosene	0
Brahman	Illiterate	Hilly	50000-ABOVE	LP Gas	69
Brahman	Illiterate	Hilly	50000-ABOVE	Others	1
Brahman	Illiterate	Hilly	50000-ABOVE	Wood	156
Brahman	Illiterate	Himalayan	0-10000	Electricity	1
Brahman	Illiterate	Himalayan	0-10000	Gobar Gas	24
Brahman	Illiterate	Himalayan	0-10000	Kerosene	1
Brahman	Illiterate	Himalayan	0-10000	LP Gas	118
Brahman	Illiterate	Himalayan	0-10000	Others	4
Brahman	Illiterate	Himalayan	0-10000	Wood	5608
Brahman	Illiterate	Himalayan	10000-20000	Electricity	0
Brahman	Illiterate	Himalayan	10000-20000	Gobar Gas	20
Brahman	Illiterate	Himalayan	10000-20000	Kerosene	0
Brahman	Illiterate	Himalayan	10000-20000	LP Gas	188
Brahman	Illiterate	Himalayan	10000-20000	Others	0
Brahman	Illiterate	Himalayan	10000-20000	Wood	2077
Brahman	Illiterate	Himalayan	20000-30000	Electricity	0
Brahman	Illiterate	Himalayan	20000-30000	Gobar Gas	6
Brahman	Illiterate	Himalayan	20000-30000	Kerosene	0
Brahman	Illiterate	Himalayan	20000-30000	LP Gas	93
Brahman	Illiterate	Himalayan	20000-30000	Others	0
Brahman	Illiterate	Himalayan	20000-30000	Wood	718
Brahman	Illiterate	Himalayan	30000-50000	Electricity	0
Brahman	Illiterate	Himalayan	30000-50000	Gobar Gas	1
Brahman	Illiterate	Himalayan	30000-50000	Kerosene	0
Brahman	Illiterate	Himalayan	30000-50000	LP Gas	38
Brahman	Illiterate	Himalayan	30000-50000	Others	0
Brahman	Illiterate	Himalayan	30000-50000	Wood	212
Brahman	Illiterate	Himalayan	50000-ABOVE	Electricity	0
Brahman	Illiterate	Himalayan	50000-ABOVE	Gobar Gas	1
Brahman	Illiterate	Himalayan	50000-ABOVE	Kerosene	0
Brahman	Illiterate	Himalayan	50000-ABOVE	LP Gas	23
Brahman	Illiterate	Himalayan	50000-ABOVE	Others	0
Brahman	Illiterate	Himalayan	50000-ABOVE	Wood	94
Brahman	NonFormal-Other	Hilly	0-10000	Electricity	2
Brahman	NonFormal-Other	Hilly	0-10000	Gobar Gas	205
Brahman	NonFormal-Other	Hilly	0-10000	Kerosene	3
Brahman	NonFormal-Other	Hilly	0-10000	LP Gas	480
Brahman	NonFormal-Other	Hilly	0-10000	Others	1
Brahman	NonFormal-Other	Hilly	0-10000	Wood	5923
Brahman	NonFormal-Other	Hilly	10000-20000	Electricity	1
Brahman	NonFormal-Other	Hilly	10000-20000	Gobar Gas	235
Brahman	NonFormal-Other	Hilly	10000-20000	Kerosene	0
Brahman	NonFormal-Other	Hilly	10000-20000	LP Gas	1064
Brahman	NonFormal-Other	Hilly	10000-20000	Others	0
Brahman	NonFormal-Other	Hilly	10000-20000	Wood	3588
Brahman	NonFormal-Other	Hilly	20000-30000	Electricity	1
Brahman	NonFormal-Other	Hilly	20000-30000	Gobar Gas	105
Brahman	NonFormal-Other	Hilly	20000-30000	Kerosene	0
Brahman	NonFormal-Other	Hilly	20000-30000	LP Gas	702
Brahman	NonFormal-Other	Hilly	20000-30000	Others	1
Brahman	NonFormal-Other	Hilly	20000-30000	Wood	1243
Brahman	NonFormal-Other	Hilly	30000-50000	Electricity	0
Brahman	NonFormal-Other	Hilly	30000-50000	Gobar Gas	40
Brahman	NonFormal-Other	Hilly	30000-50000	Kerosene	0
Brahman	NonFormal-Other	Hilly	30000-50000	LP Gas	206
Brahman	NonFormal-Other	Hilly	30000-50000	Others	1
Brahman	NonFormal-Other	Hilly	30000-50000	Wood	321
Brahman	NonFormal-Other	Hilly	50000-ABOVE	Electricity	0
Brahman	NonFormal-Other	Hilly	50000-ABOVE	Gobar Gas	13
Brahman	NonFormal-Other	Hilly	50000-ABOVE	Kerosene	0
Brahman	NonFormal-Other	Hilly	50000-ABOVE	LP Gas	86
Brahman	NonFormal-Other	Hilly	50000-ABOVE	Others	0
Brahman	NonFormal-Other	Hilly	50000-ABOVE	Wood	112
Brahman	NonFormal-Other	Himalayan	0-10000	Electricity	0
Brahman	NonFormal-Other	Himalayan	0-10000	Gobar Gas	27
Brahman	NonFormal-Other	Himalayan	0-10000	Kerosene	0
Brahman	NonFormal-Other	Himalayan	0-10000	LP Gas	112
Brahman	NonFormal-Other	Himalayan	0-10000	Others	3
Brahman	NonFormal-Other	Himalayan	0-10000	Wood	4089
Brahman	NonFormal-Other	Himalayan	10000-20000	Electricity	1
Brahman	NonFormal-Other	Himalayan	10000-20000	Gobar Gas	33
Brahman	NonFormal-Other	Himalayan	10000-20000	Kerosene	0
Brahman	NonFormal-Other	Himalayan	10000-20000	LP Gas	282
Brahman	NonFormal-Other	Himalayan	10000-20000	Others	0
Brahman	NonFormal-Other	Himalayan	10000-20000	Wood	3079
Brahman	NonFormal-Other	Himalayan	20000-30000	Electricity	1
Brahman	NonFormal-Other	Himalayan	20000-30000	Gobar Gas	11
Brahman	NonFormal-Other	Himalayan	20000-30000	Kerosene	0
Brahman	NonFormal-Other	Himalayan	20000-30000	LP Gas	163
Brahman	NonFormal-Other	Himalayan	20000-30000	Others	1
Brahman	NonFormal-Other	Himalayan	20000-30000	Wood	888
Brahman	NonFormal-Other	Himalayan	30000-50000	Electricity	0
Brahman	NonFormal-Other	Himalayan	30000-50000	Gobar Gas	3
Brahman	NonFormal-Other	Himalayan	30000-50000	Kerosene	0
Brahman	NonFormal-Other	Himalayan	30000-50000	LP Gas	70
Brahman	NonFormal-Other	Himalayan	30000-50000	Others	0
Brahman	NonFormal-Other	Himalayan	30000-50000	Wood	241
Brahman	NonFormal-Other	Himalayan	50000-ABOVE	Electricity	0
Brahman	NonFormal-Other	Himalayan	50000-ABOVE	Gobar Gas	0
Brahman	NonFormal-Other	Himalayan	50000-ABOVE	Kerosene	0
Brahman	NonFormal-Other	Himalayan	50000-ABOVE	LP Gas	35
Brahman	NonFormal-Other	Himalayan	50000-ABOVE	Others	0
