Control_GeoRegion	Factor	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
Himalayan	Ethnicity	9	2502.55838501898	278.062042779887	64.0431738912766	0.416538237965911	0.001
Himalayan	IncomeGroup	4	1660.48603222517	415.121508056292	95.6106725703057	0.276379536305936	0.001
Himalayan	EducationLevel	4	846.33573279487	211.583933198717	48.7319538149702	0.140868319786789	0.001
Himalayan	Residuals	230	998.611810650522	4.34179048108923	NA	0.166213905941364	NA
Himalayan	Total	247	6007.99196068954	NA	NA	1	NA
Hilly	Ethnicity	9	3260.71684444203	362.30187160467	71.0983988012619	0.421912862826262	0.001
Hilly	IncomeGroup	4	2312.42166342851	578.105415857127	113.447852818792	0.299210416182439	0.001
Hilly	EducationLevel	4	983.244833606711	245.811208401678	48.2381811812239	0.127224675553552	0.001
Hilly	Residuals	230	1172.029636026	5.09578102619998	NA	0.151652045437747	NA
Hilly	Total	247	7728.41297750324	NA	NA	1	NA
